Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.0.117:49267    20.199.120.85:https    ESTABLISHED
  TCP    192.168.0.117:49278    ws-in-f188:5228        ESTABLISHED
  TCP    192.168.0.117:49348    20.199.120.182:https   ESTABLISHED
  TCP    192.168.0.117:49440    40.101.76.162:https    ESTABLISHED
  TCP    192.168.0.117:50974    lb-140-82-113-26-iad:https  ESTABLISHED
  TCP    192.168.0.117:50999    52.168.117.170:https   TIME_WAIT
  TCP    192.168.0.117:51000    20.54.232.160:https    TIME_WAIT
  TCP    192.168.0.117:51002    52.97.152.114:https    ESTABLISHED
  TCP    192.168.0.117:51006    13.107.42.254:https    ESTABLISHED
  TCP    192.168.0.117:51008    fra24s06-in-f4:http    TIME_WAIT
  TCP    192.168.0.117:51009    1drv:https             ESTABLISHED
  TCP    192.168.0.117:51010    52.168.117.170:https   ESTABLISHED
  TCP    192.168.0.117:51012    1drv:https             ESTABLISHED
  TCP    192.168.0.117:51013    1drv:https             ESTABLISHED
  TCP    192.168.0.117:51014    fra24s08-in-f1:https   TIME_WAIT
  TCP    192.168.0.117:51015    fra16s52-in-f14:https  TIME_WAIT
  TCP    192.168.0.117:51016    fra16s53-in-f14:https  TIME_WAIT
  TCP    192.168.0.117:55883    104.18.25.243:http     ESTABLISHED
  TCP    192.168.0.117:56201    52.97.152.114:https    ESTABLISHED
  TCP    192.168.0.117:56202    52.97.152.114:https    ESTABLISHED
  TCP    192.168.56.1:9998      LAPTOP-JUIV81D4:51011  TIME_WAIT
